"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Central African Republic","CAF","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.5","42","41.5","41.4","40.8","39.5","37.6","35.6","33.7","32.4","32","33.4","37.5","44.6","52.2","57.8","59.8","59.6","","",
"Canada","CAN","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Central Europe and the Baltics","CEB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.26877912183835","3.1944725109291","3.13345925328491","3.07678973098097","3.03772476501743","3.01434804301103","2.97122890121108","2.9400831142917","2.88786308241729","2.84679616576165","2.81376767648125","2.8011877911462","2.78305136662015","2.75060324802139","2.71702613388268","2.68062615270402","2.65307988711574","2.62853758423274","","",
"Switzerland","CHE","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Channel Islands","CHI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","4.4","4.1","4.1","4","3.9","3.8","3.9","4.1","4.2","4.2","4","3.8","3.7","3.5","3.2","2.9","2.7","","",
"China","CHN","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2","16.1","16","15.9","15.8","15.5","15","14.4","13.6","12.7","12","11.2","10.6","9.9","9.3","8.9","8.7","8.6","","",
"Cote d'Ivoire","CIV","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.4","21.5","21.7","21.3","20.5","20","20","20.5","21.3","21.8","21.9","21.6","21.5","21.4","21","20.4","19.6","19","","",
"Cameroon","CMR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.8","28.5","26.5","24.4","22.4","20.3","18.2","16.2","14.4","12.9","11.5","10.1","8.9","8","7.3","7.7","8.7","9.9","","",
"Congo, Dem. Rep.","COD","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.8","34","32.8","34.2","36.7","40.2","41.6","42.2","41.8","41.3","40.5","39.5","39.2","38.7","38.2","37.7","38.5","40.3","","",
"Colombia","COL","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.7","9.4","9.2","9.2","9.3","9.7","9.6","9.3","9.5","10.4","11.1","10.8","9.9","8.6","7.5","6.5","5.6","4.8","","",
"Comoros","COM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.9","17.9","17.5","16.3","14.9","14","13.9","14","14.5","14.9","15.3","15.1","14.7","14.2","13.6","13","12.7","12.6","","",
"Costa Rica","CRI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1","5.3","5.7","5.9","5.8","5.4","5.1","5","5.1","5.2","5.2","5.2","5.4","5.5","5.4","5.1","4.7","4.8","","",
"Caribbean small states","CSS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.85773140600523","8.38113904440123","8.26748797417075","8.36541938896091","8.50536446683138","8.51344720830071","8.5497822340856","8.61157383124423","8.78452385538424","8.85623329714127","8.77603256752002","8.57899259344705","8.36059920508448","8.16876782572669","7.99439854067657","7.78861137059218","7.50785779373505","7.25467676040191","","",
"Cuba","CUB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7","2.8","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Curacao","CUW","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.9","4.4","4.9","5.4","5.7","5.6","5.1","4.7","4.4","4.3","4.3","4.8","5.4","5.9","6","5.8","5.6","","",
"Czech Republic","CZE","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Germany","DEU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Djibouti","DJI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.1","45.4","42.7","39.8","36.2","32.2","28.6","25.6","23.9","22.9","22.3","21.3","20.2","19.3","19","19","19","18.9","","",
"Dominica","DMA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","4.4","4.6","5","5.5","5.7","5.6","5.1","4.9","4.9","5.2","5.6","5.9","6.2","6.3","6.5","6.4","6.2","","",
"Denmark","DNK","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Dominican Republic","DOM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.1","27.1","27.5","28.3","27","24.4","21.9","20.9","20.2","18.6","16.5","14.6","13.6","13","12.1","11","9.9","9.5","","",
"Algeria","DZA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7","10.2","9.7","9.3","9","8.8","8.4","8","7.6","7","6.3","5.6","4.9","4.5","4.2","4","3.9","3.9","","",
"East Asia & Pacific (excluding high income)","EAP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.2044222070825","17.9619608361138","17.6349728445319","17.3259881876614","17.0376461905996","16.6289512667767","16.0691152373935","15.4055665551598","14.5614527693528","13.5672760457473","12.6742372664791","11.7504974093143","11.1214742067813","10.5017832673575","9.98726527972828","9.62945177301755","9.45653889222369","9.35184750633842","","",
"Early-demographic dividend","EAR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.4896951434241","18.8156588281101","19.4089575333603","19.7089035758439","19.6746903981575","19.0195482275546","18.0099618029658","17.0069962735611","16.1949961578438","15.6325587189413","15.169251252333","14.8344483539329","14.5323453167627","14.2169277662292","13.8751680596502","13.4690130001246","13.1875119870274","12.9676773632768","","",
"East Asia & Pacific","EAS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.4733404392532","16.2670934081398","15.9854268480079","15.7183941643262","15.4696024579181","15.1140180078208","14.622508297738","14.0373650281903","13.2890265565898","12.405004045598","11.6105599214571","10.7876908561062","10.226180338948","9.67276281248408","9.21374315918809","8.89338405341683","8.74049513795006","8.64964523371828","","",
"Europe & Central Asia (excluding high income)","ECA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.9520597079758","5.6484111720346","5.22713774718421","4.752679229914","4.28560575264924","3.95966519327822","3.75611047686068","3.59517191359949","3.49416879319575","3.4229601864685","3.36286552533324","3.28058342057355","3.20548054328078","3.14269401661808","3.10308868310083","3.13878472236031","3.16696116608531","3.1996826226048","","",
"Europe & Central Asia","ECS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.10590136202237","3.95539471523473","3.75486651050788","3.53316606382108","3.31912627673946","3.17053369816247","3.08319831943178","3.00843802134936","2.95899981285211","2.92329125626424","2.89401156068585","2.85816107195015","2.82474933827613","2.7975946258333","2.78035611630212","2.79654539238001","2.80840089133798","2.82197755743993","","",
"Ecuador","ECU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.5","18.8","18.9","18.6","17.7","17","16.2","15.6","14.4","12.8","10.7","9.1","8.3","8.1","8.1","8","7.9","7.9","","",
"Egypt, Arab Rep.","EGY","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","5.1","5.2","5.3","5.5","5.4","5.1","4.8","4.6","4.5","4.5","4.5","4.4","4.4","4.4","4.4","4.4","4.5","","",
"Euro area","EMU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5940669667705","2.59827545600254","2.59600762064463","2.5874360247071","2.58080599908744","2.5773301036898","2.57312956044257","2.56606993551221","2.55498573456309","2.54356066385678","2.53522346394317","2.53257889580426","2.53225425510748","2.53304284221902","2.53311666860261","2.53307394722442","2.53042071655841","2.52661259912019","","",
"Eritrea","ERI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Estonia","EST","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","5.5","5.5","5.2","4.8","4.2","3.7","3.2","2.8","2.6","2.6","2.7","3","3.1","3.1","3","2.9","2.9","","",
"Ethiopia","ETH","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","49","46.7","44.2","42","39.7","38.5","37.2","35.6","33.7","32.1","30.7","28.9","26.7","24.5","22.7","21.4","20.6","","",
"European Union","EUU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.67269984098886","2.65564201210956","2.64198986549425","2.62982932837475","2.62166792781952","2.61659865303288","2.60662783731532","2.59832324885859","2.58592225592259","2.57637363572269","2.56894083028879","2.56627035159236","2.56341294504054","2.55785302257306","2.55190764171694","2.54456290843365","2.5383944993903","2.53292289179926","","",
"Fragile and conflict affected situations","FCS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.9830812854334","24.2232559619632","24.5744971068127","25.031381172295","25.4490748975107","25.7178892483","","",
"Finland","FIN","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Fiji","FJI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8","4.7","4.6","4.5","4.4","4.3","4.2","4.3","4.3","4.5","4.5","4.5","4.4","4.2","4","3.8","3.7","3.7","","",
"France","FRA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Faroe Islands","FRO","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5","10.8","11.3","11.4","11.2","10.9","11","11.2","11.5","11.3","10.8","10","9.4","8.7","8.5","8.9","9.8","10.5","","",
"United Kingdom","GBR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Georgia","GEO","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5","13.6","11.4","9.2","7.9","7.2","7","6.8","6.7","7","7.7","8.1","8.1","7.7","7.5","7.6","7.8","7.9","","",
"Ghana","GHA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.6","13.6","12","11","10.1","9.3","8.3","7.3","6.3","5.6","5.3","5.5","5.9","6.2","6.3","6.2","5.9","5.5","","",
"Gibraltar","GIB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.3","25.5","24.7","23.8","22.5","21.3","20.2","19.3","18.5","18","17.6","17.2","16.5","15.7","14.9","14.8","15.5","16.5","","",
"Gambia, The","GMB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.1","12.9","13.8","14.6","15.1","15.1","14.5","12.9","11.3","10","9.3","9.1","9.4","9.8","10.1","10.2","10.2","10.2","","",
"Guinea-Bissau","GNB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.7","24.4","24.2","24.5","24.6","24.4","24.1","23.7","23.3","22.8","22.2","22.2","22.6","23.9","25.3","26.6","27.4","28","","",
"Equatorial Guinea","GNQ","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
